record_type,population,feature,level,count,fraction,mean,median,q25,q75,minimum,maximum
categorical_count,development,central_bond_class,C-C,438,0.438,,,,,,
categorical_count,development,central_bond_class,C-N,376,0.376,,,,,,
categorical_count,development,central_bond_class,C-O,81,0.081,,,,,,
categorical_count,development,central_bond_class,C-S,42,0.042,,,,,,
categorical_count,development,central_bond_class,B-C,19,0.019,,,,,,
categorical_count,development,central_bond_class,N-S,14,0.014,,,,,,
categorical_count,development,central_bond_class,C-Si,11,0.011,,,,,,
categorical_count,development,central_bond_class,N-N,8,0.008,,,,,,
categorical_count,development,central_bond_class,O-Si,3,0.003,,,,,,
categorical_count,development,central_bond_class,O-S,2,0.002,,,,,,
categorical_count,development,central_bond_class,N-P,1,0.001,,,,,,
categorical_count,development,central_bond_class,O-P,1,0.001,,,,,,
categorical_count,development,central_bond_class,N-O,1,0.001,,,,,,
categorical_count,development,central_bond_class,B-O,1,0.001,,,,,,
categorical_count,development,central_bond_class,S-S,1,0.001,,,,,,
categorical_count,development,central_bond_class,C-P,1,0.001,,,,,,
categorical_count,development,torsion_element_sequence,C-C-C-C,140,0.14,,,,,,
categorical_count,development,torsion_element_sequence,C-N-C-C,101,0.101,,,,,,
categorical_count,development,torsion_element_sequence,C-C-N-C,90,0.09,,,,,,
categorical_count,development,torsion_element_sequence,N-C-C-C,58,0.058,,,,,,
categorical_count,development,torsion_element_sequence,C-C-C-N,54,0.054,,,,,,
categorical_count,development,torsion_element_sequence,O-C-N-C,54,0.054,,,,,,
categorical_count,development,torsion_element_sequence,C-C-C-O,51,0.051,,,,,,
categorical_count,development,torsion_element_sequence,O-C-C-C,43,0.043,,,,,,
categorical_count,development,torsion_element_sequence,C-O-C-C,32,0.032,,,,,,
categorical_count,development,torsion_element_sequence,C-N-C-O,31,0.031,,,,,,
categorical_count,development,torsion_element_sequence,N-C-C-N,24,0.024,,,,,,
categorical_count,development,torsion_element_sequence,C-N-C-N,20,0.02,,,,,,
categorical_count,development,torsion_element_sequence,C-C-O-C,20,0.02,,,,,,
categorical_count,development,torsion_element_sequence,N-C-C-O,18,0.018,,,,,,
categorical_count,development,torsion_element_sequence,O-B-C-C,17,0.017,,,,,,
categorical_count,development,torsion_element_sequence,N-C-N-C,16,0.016,,,,,,
categorical_count,development,torsion_element_sequence,C-C-S-C,10,0.01,,,,,,
categorical_count,development,torsion_element_sequence,S-N-C-C,9,0.009,,,,,,
categorical_count,development,torsion_element_sequence,N-S-C-C,9,0.009,,,,,,
categorical_count,development,torsion_element_sequence,N-N-C-C,8,0.008,,,,,,
categorical_count,development,torsion_element_sequence,C-C-O-H,8,0.008,,,,,,
categorical_count,development,torsion_element_sequence,O-C-C-N,8,0.008,,,,,,
categorical_count,development,torsion_element_sequence,C-C-N-N,8,0.008,,,,,,
categorical_count,development,torsion_element_sequence,O-C-O-C,8,0.008,,,,,,
categorical_count,development,torsion_element_sequence,C-C-C-S,8,0.008,,,,,,
categorical_count,development,torsion_element_sequence,S-C-C-N,6,0.006,,,,,,
categorical_count,development,torsion_element_sequence,C-N-C-S,6,0.006,,,,,,
categorical_count,development,torsion_element_sequence,C-C-S-N,6,0.006,,,,,,
categorical_count,development,torsion_element_sequence,C-N-S-C,6,0.006,,,,,,
categorical_count,development,torsion_element_sequence,C-N-N-C,5,0.005,,,,,,
categorical_count,development,torsion_element_sequence,C-S-N-C,5,0.005,,,,,,
categorical_count,development,torsion_element_sequence,C-S-C-C,5,0.005,,,,,,
categorical_count,development,torsion_element_sequence,C-Si-C-C,4,0.004,,,,,,
categorical_count,development,torsion_element_sequence,C-O-C-N,4,0.004,,,,,,
categorical_count,development,torsion_element_sequence,C-S-C-N,4,0.004,,,,,,
categorical_count,development,torsion_element_sequence,S-C-C-C,3,0.003,,,,,,
categorical_count,development,torsion_element_sequence,O-C-N-N,3,0.003,,,,,,
categorical_count,development,torsion_element_sequence,C-C-N-S,3,0.003,,,,,,
categorical_count,development,torsion_element_sequence,N-C-N-N,3,0.003,,,,,,
categorical_count,development,torsion_element_sequence,C-C-N-O,3,0.003,,,,,,
categorical_count,development,torsion_element_sequence,C-C-Si-C,3,0.003,,,,,,
categorical_count,development,torsion_element_sequence,C-O-C-O,2,0.002,,,,,,
categorical_count,development,torsion_element_sequence,H-N-C-C,2,0.002,,,,,,
categorical_count,development,torsion_element_sequence,F-C-C-C,2,0.002,,,,,,
categorical_count,development,torsion_element_sequence,N-C-N-S,2,0.002,,,,,,
categorical_count,development,torsion_element_sequence,C-C-N-H,2,0.002,,,,,,
categorical_count,development,torsion_element_sequence,O-S-C-C,2,0.002,,,,,,
categorical_count,development,torsion_element_sequence,N-C-C-Br,2,0.002,,,,,,
categorical_count,development,torsion_element_sequence,O-C-N-S,2,0.002,,,,,,
categorical_count,development,torsion_element_sequence,O-C-C-O,2,0.002,,,,,,
categorical_count,development,torsion_element_sequence,N-C-C-F,2,0.002,,,,,,
categorical_count,development,torsion_element_sequence,O-N-C-C,2,0.002,,,,,,
categorical_count,development,torsion_element_sequence,S-C-C-O,2,0.002,,,,,,
categorical_count,development,torsion_element_sequence,C-C-C-Si,2,0.002,,,,,,
categorical_count,development,torsion_element_sequence,C-C-C-Cl,2,0.002,,,,,,
categorical_count,development,torsion_element_sequence,C-C-C-F,2,0.002,,,,,,
categorical_count,development,torsion_element_sequence,O-C-C-S,2,0.002,,,,,,
categorical_count,development,torsion_element_sequence,C-S-C-F,2,0.002,,,,,,
categorical_count,development,torsion_element_sequence,N-N-C-O,2,0.002,,,,,,
categorical_count,development,torsion_element_sequence,N-N-C-S,2,0.002,,,,,,
categorical_count,development,torsion_element_sequence,C-N-N-H,2,0.002,,,,,,
categorical_count,development,torsion_element_sequence,S-N-C-O,1,0.001,,,,,,
categorical_count,development,torsion_element_sequence,C-B-C-C,1,0.001,,,,,,
categorical_count,development,torsion_element_sequence,C-C-C-P,1,0.001,,,,,,
categorical_count,development,torsion_element_sequence,S-O-C-C,1,0.001,,,,,,
categorical_count,development,torsion_element_sequence,O-C-C-F,1,0.001,,,,,,
categorical_count,development,torsion_element_sequence,O-C-S-C,1,0.001,,,,,,
categorical_count,development,torsion_element_sequence,C-N-C-Si,1,0.001,,,,,,
categorical_count,development,torsion_element_sequence,C-P-N-C,1,0.001,,,,,,
categorical_count,development,torsion_element_sequence,C-O-Si-Cl,1,0.001,,,,,,
categorical_count,development,torsion_element_sequence,N-N-C-N,1,0.001,,,,,,
categorical_count,development,torsion_element_sequence,S-C-S-N,1,0.001,,,,,,
categorical_count,development,torsion_element_sequence,O-P-O-C,1,0.001,,,,,,
categorical_count,development,torsion_element_sequence,C-C-Si-N,1,0.001,,,,,,
categorical_count,development,torsion_element_sequence,C-S-O-C,1,0.001,,,,,,
categorical_count,development,torsion_element_sequence,O-C-C-Br,1,0.001,,,,,,
categorical_count,development,torsion_element_sequence,N-C-N-P,1,0.001,,,,,,
categorical_count,development,torsion_element_sequence,F-S-C-C,1,0.001,,,,,,
categorical_count,development,torsion_element_sequence,C-C-O-N,1,0.001,,,,,,
categorical_count,development,torsion_element_sequence,C-C-O-Si,1,0.001,,,,,,
categorical_count,development,torsion_element_sequence,C-N-O-C,1,0.001,,,,,,
categorical_count,development,torsion_element_sequence,C-B-O-C,1,0.001,,,,,,
categorical_count,development,torsion_element_sequence,C-C-Si-O,1,0.001,,,,,,
categorical_count,development,torsion_element_sequence,F-C-C-N,1,0.001,,,,,,
categorical_count,development,torsion_element_sequence,O-C-O-H,1,0.001,,,,,,
categorical_count,development,torsion_element_sequence,C-N-N-S,1,0.001,,,,,,
categorical_count,development,torsion_element_sequence,C-Si-C-S,1,0.001,,,,,,
categorical_count,development,torsion_element_sequence,C-S-S-C,1,0.001,,,,,,
categorical_count,development,torsion_element_sequence,C-C-S-Cl,1,0.001,,,,,,
categorical_count,development,torsion_element_sequence,N-C-C-S,1,0.001,,,,,,
categorical_count,development,torsion_element_sequence,C-N-S-O,1,0.001,,,,,,
categorical_count,development,torsion_element_sequence,N-S-N-C,1,0.001,,,,,,
categorical_count,development,torsion_element_sequence,Cl-C-C-C,1,0.001,,,,,,
categorical_count,development,torsion_element_sequence,C-C-P-S,1,0.001,,,,,,
categorical_count,development,torsion_element_sequence,O-C-N-H,1,0.001,,,,,,
categorical_count,development,torsion_element_sequence,N-C-Si-C,1,0.001,,,,,,
categorical_count,development,torsion_element_sequence,C-S-O-N,1,0.001,,,,,,
categorical_count,development,torsion_element_sequence,N-B-C-C,1,0.001,,,,,,
categorical_count,development,torsion_element_sequence,O-C-C-Si,1,0.001,,,,,,
categorical_count,development,torsion_element_sequence,C-S-N-N,1,0.001,,,,,,
categorical_count,development,torsion_element_sequence,N-C-O-H,1,0.001,,,,,,
categorical_count,development,torsion_element_sequence,S-N-C-N,1,0.001,,,,,,
categorical_count,development,torsion_element_sequence,C-Si-O-C,1,0.001,,,,,,
categorical_count,development,torsion_element_sequence,O-C-O-Si,1,0.001,,,,,,
categorical_count,development,torsion_element_sequence,C-O-Si-C,1,0.001,,,,,,
categorical_count,development,torsion_element_sequence,P-N-C-C,1,0.001,,,,,,
categorical_count,development,torsion_element_sequence,C-C-O-S,1,0.001,,,,,,
