analysis_type,accepted_count,coverage,distance_max,is_frozen_cutoff,comparator,metric,proposed_mean,comparator_mean,effect,ci_low,ci_high,bootstrap_repeats
relative_reduction,300,0.3,0.2080200448849682,False,zero_shot_active,profile_mae,0.3012132269582729,0.39231711020389365,0.23222000997680814,0.163448736639002,0.29322889487210896,5000
relative_reduction,300,0.3,0.2080200448849682,False,zero_shot_active,barrier_abs_error,0.11283773350760873,0.18923211633520312,0.4037072792245818,0.15854941502661635,0.5829361572171596,5000
joint_regression_rate,300,0.3,0.2080200448849682,False,zero_shot_active,both_endpoints,,,0.12666666666666668,0.09,0.16666666666666666,5000
relative_reduction,300,0.3,0.2080200448849682,False,learned_equal,profile_mae,0.3012132269582729,0.3258158061792157,0.07551069884992034,-0.004975834702342459,0.14906208880690885,5000
relative_reduction,300,0.3,0.2080200448849682,False,learned_equal,barrier_abs_error,0.11283773350760873,0.34754998471600046,0.6753337981015486,0.5682415652520817,0.7631510805117486,5000
joint_regression_rate,300,0.3,0.2080200448849682,False,learned_equal,both_endpoints,,,0.09666666666666666,0.06333333333333334,0.13,5000
relative_reduction,400,0.4,0.2286407128425199,False,zero_shot_active,profile_mae,0.29398436887001245,0.3778193980172664,0.22189180753345716,0.16421077952894284,0.2760371552191175,5000
relative_reduction,400,0.4,0.2286407128425199,False,zero_shot_active,barrier_abs_error,0.09956783241738222,0.17882688174050101,0.4432166380786814,0.2443996007571705,0.5881922385936647,5000
joint_regression_rate,400,0.4,0.2286407128425199,False,zero_shot_active,both_endpoints,,,0.13,0.0975,0.1625,5000
relative_reduction,400,0.4,0.2286407128425199,False,learned_equal,profile_mae,0.29398436887001245,0.3247608499235641,0.09476659843942148,0.03365159632194161,0.15332013672759517,5000
relative_reduction,400,0.4,0.2286407128425199,False,learned_equal,barrier_abs_error,0.09956783241738222,0.3223433367056759,0.6911124844863933,0.6050045995509061,0.764334967044802,5000
joint_regression_rate,400,0.4,0.2286407128425199,False,learned_equal,both_endpoints,,,0.09,0.0625,0.1175,5000
relative_reduction,500,0.5,0.2560710637374899,False,zero_shot_active,profile_mae,0.3011290393272734,0.3850964664695382,0.21804258011520017,0.1645403276221814,0.2663399470778042,5000
