role,profile,method,candidate_index,angle_rad,target_relative_kcal_mol,prior_relative_kcal_mol,posterior_relative_kcal_mol,selected,selected_order
p95_learned_profile_mae,011e40058b2151c3a2a6085124734b95,learned_active,7,-1.0471976,1.65625,1.7917151153087616,2.4940761014908746,False,0
p95_learned_profile_mae,011e40058b2151c3a2a6085124734b95,learned_active,8,-0.7853982,1.125,1.3141236156225204,1.5263233386096475,True,5
p95_learned_profile_mae,011e40058b2151c3a2a6085124734b95,learned_active,9,-0.5235988,1.1875,1.5920833051204681,1.3913034982682975,False,0
p95_learned_profile_mae,011e40058b2151c3a2a6085124734b95,learned_active,10,-0.2617994,2.1875,2.8261195719242096,2.374593071092903,False,0
p95_learned_profile_mae,011e40058b2151c3a2a6085124734b95,learned_active,11,5.743189e-09,4.0625,4.737046867609024,4.338175130028201,False,0
p95_learned_profile_mae,011e40058b2151c3a2a6085124734b95,learned_active,12,0.2617994,6.40625,6.7800998985767365,6.8075733386096475,True,4
p95_learned_profile_mae,011e40058b2151c3a2a6085124734b95,learned_active,13,0.5235988,1.9375,0.8165355920791626,1.541247957946729,False,0
p95_learned_profile_mae,011e40058b2151c3a2a6085124734b95,learned_active,14,0.7853982,1.40625,0.42757004499435447,1.8075733386096475,True,2
p95_learned_profile_mae,011e40058b2151c3a2a6085124734b95,learned_active,15,1.0471976,1.25,1.1654368788003922,2.862255654848158,False,0
p95_learned_profile_mae,011e40058b2151c3a2a6085124734b95,learned_active,16,1.3089969,1.34375,1.6492598801851273,3.279533441874665,False,0
p95_learned_profile_mae,011e40058b2151c3a2a6085124734b95,learned_active,17,1.5707964,1.28125,1.7843133211135864,3.08311746191025,False,0
p95_learned_profile_mae,011e40058b2151c3a2a6085124734b95,learned_active,18,1.8325957,1.0,1.6313056945800781,2.499993120676741,False,0
p95_learned_profile_mae,011e40058b2151c3a2a6085124734b95,learned_active,19,2.0943952,0.625,1.0515352487564087,1.4787334736983895,False,0
p95_learned_profile_mae,011e40058b2151c3a2a6085124734b95,learned_active,20,2.3561945,0.125,0.5343499779701233,0.5263233386096475,True,3
p95_learned_profile_mae,011e40058b2151c3a2a6085124734b95,learned_active,21,2.6179938,0.0,0.40094801783561707,0.0,False,0
p95_learned_profile_mae,011e40058b2151c3a2a6085124734b95,learned_active,22,2.8797932,0.71875,1.030141085386276,0.41835893563462023,False,0
p95_learned_profile_mae,011e40058b2151c3a2a6085124734b95,learned_active,23,3.1415927,2.4375,2.7225593626499176,2.2849859612217953,False,0
p95_learned_profile_mae,011e40058b2151c3a2a6085124734b95,zero_shot_active,0,-2.8797932,4.9375,5.78125,5.411119610724786,True,6
p95_learned_profile_mae,011e40058b2151c3a2a6085124734b95,zero_shot_active,1,-2.6179938,1.6875,0.15625,1.0780477450908088,False,0
p95_learned_profile_mae,011e40058b2151c3a2a6085124734b95,zero_shot_active,2,-2.3561945,1.6875,0.0,2.161119610724785,True,1
p95_learned_profile_mae,011e40058b2151c3a2a6085124734b95,zero_shot_active,3,-2.0943952,2.03125,1.125,3.9350722696224936,False,0
p95_learned_profile_mae,011e40058b2151c3a2a6085124734b95,zero_shot_active,4,-1.8325957,2.34375,1.78125,4.5526539619810205,False,0
p95_learned_profile_mae,011e40058b2151c3a2a6085124734b95,zero_shot_active,5,-1.5707964,2.40625,2.1875,4.4361286226232,False,0
p95_learned_profile_mae,011e40058b2151c3a2a6085124734b95,zero_shot_active,6,-1.3089969,2.15625,2.1875,3.7337717627663425,False,0
p95_learned_profile_mae,011e40058b2151c3a2a6085124734b95,zero_shot_active,7,-1.0471976,1.65625,1.6875,2.5260580513800965,False,0
p95_learned_profile_mae,011e40058b2151c3a2a6085124734b95,zero_shot_active,8,-0.7853982,1.125,1.4375,1.5986196107247852,True,5
p95_learned_profile_mae,011e40058b2151c3a2a6085124734b95,zero_shot_active,9,-0.5235988,1.1875,1.96875,1.5009941875133168,False,0
p95_learned_profile_mae,011e40058b2151c3a2a6085124734b95,zero_shot_active,10,-0.2617994,2.1875,3.375,2.453516706896087,False,0
p95_learned_profile_mae,011e40058b2151c3a2a6085124734b95,zero_shot_active,11,5.743189e-09,4.0625,5.375,4.390219094939936,False,0
p95_learned_profile_mae,011e40058b2151c3a2a6085124734b95,zero_shot_active,12,0.2617994,6.40625,7.40625,6.879869610724786,True,4
p95_learned_profile_mae,011e40058b2151c3a2a6085124734b95,zero_shot_active,13,0.5235988,1.9375,1.15625,1.5116996423439624,False,0
p95_learned_profile_mae,011e40058b2151c3a2a6085124734b95,zero_shot_active,14,0.7853982,1.40625,0.625,1.8798696107247852,True,2
p95_learned_profile_mae,011e40058b2151c3a2a6085124734b95,zero_shot_active,15,1.0471976,1.25,1.28125,3.0465607654601405,False,0
p95_learned_profile_mae,011e40058b2151c3a2a6085124734b95,zero_shot_active,16,1.3089969,1.34375,1.78125,3.5669040051509247,False,0
p95_learned_profile_mae,011e40058b2151c3a2a6085124734b95,zero_shot_active,17,1.5707964,1.28125,2.15625,3.590141499904005,False,0
p95_learned_profile_mae,011e40058b2151c3a2a6085124734b95,zero_shot_active,18,1.8325957,1.0,2.03125,2.937895531142235,False,0
p95_learned_profile_mae,011e40058b2151c3a2a6085124734b95,zero_shot_active,19,2.0943952,0.625,1.40625,1.7221928748600026,False,0
p95_learned_profile_mae,011e40058b2151c3a2a6085124734b95,zero_shot_active,20,2.3561945,0.125,0.90625,0.5986196107247852,True,3
p95_learned_profile_mae,011e40058b2151c3a2a6085124734b95,zero_shot_active,21,2.6179938,0.0,0.90625,0.0,False,0
p95_learned_profile_mae,011e40058b2151c3a2a6085124734b95,zero_shot_active,22,2.8797932,0.71875,1.78125,0.49489339239907126,False,0
p95_learned_profile_mae,011e40058b2151c3a2a6085124734b95,zero_shot_active,23,3.1415927,2.4375,3.5,2.3406578257143216,False,0
p95_learned_profile_mae,011e40058b2151c3a2a6085124734b95,learned_equal,0,-2.8797932,4.9375,5.123473435640335,5.208422946083603,False,0
p95_learned_profile_mae,011e40058b2151c3a2a6085124734b95,learned_equal,1,-2.6179938,1.6875,0.09173105657100677,0.15429572648572343,False,0
p95_learned_profile_mae,011e40058b2151c3a2a6085124734b95,learned_equal,2,-2.3561945,1.6875,0.0,0.020826478952435945,False,0
p95_learned_profile_mae,011e40058b2151c3a2a6085124734b95,learned_equal,3,-2.0943952,2.03125,1.224176357500255,1.2325438833398588,False,0
p95_learned_profile_mae,011e40058b2151c3a2a6085124734b95,learned_equal,4,-1.8325957,2.34375,2.130511164665222,2.19465574533754,False,0
p95_learned_profile_mae,011e40058b2151c3a2a6085124734b95,learned_equal,5,-1.5707964,2.40625,2.54724982380867,2.7367855610930394,True,4
p95_learned_profile_mae,011e40058b2151c3a2a6085124734b95,learned_equal,6,-1.3089969,2.15625,2.378688804805279,2.700869056004685,False,0
p95_learned_profile_mae,011e40058b2151c3a2a6085124734b95,learned_equal,7,-1.0471976,1.65625,1.7917151153087616,2.127715432574678,False,0
p95_learned_profile_mae,011e40058b2151c3a2a6085124734b95,learned_equal,8,-0.7853982,1.125,1.3141236156225204,1.4555355610930394,True,5
p95_learned_profile_mae,011e40058b2151c3a2a6085124734b95,learned_equal,9,-0.5235988,1.1875,1.5920833051204681,1.3797416302090868,False,0
p95_learned_profile_mae,011e40058b2151c3a2a6085124734b95,learned_equal,10,-0.2617994,2.1875,2.8261195719242096,2.3623882312635134,False,0
p95_learned_profile_mae,011e40058b2151c3a2a6085124734b95,learned_equal,11,5.743189e-09,4.0625,4.737046867609024,4.39303556109304,True,1
p95_learned_profile_mae,011e40058b2151c3a2a6085124734b95,learned_equal,12,0.2617994,6.40625,6.7800998985767365,6.999903292819377,False,0
p95_learned_profile_mae,011e40058b2151c3a2a6085124734b95,learned_equal,13,0.5235988,1.9375,0.8165355920791626,1.73036627208961,False,0
p95_learned_profile_mae,011e40058b2151c3a2a6085124734b95,learned_equal,14,0.7853982,1.40625,0.42757004499435447,1.7367855610930394,True,6
p95_learned_profile_mae,011e40058b2151c3a2a6085124734b95,learned_equal,15,1.0471976,1.25,1.1654368788003922,2.289540172026363,False,0
p95_learned_profile_mae,011e40058b2151c3a2a6085124734b95,learned_equal,16,1.3089969,1.34375,1.6492598801851273,2.1615576913756347,False,0
p95_learned_profile_mae,011e40058b2151c3a2a6085124734b95,learned_equal,17,1.5707964,1.28125,1.7843133211135864,1.6117855610930394,True,3
p95_learned_profile_mae,011e40058b2151c3a2a6085124734b95,learned_equal,18,1.8325957,1.0,1.6313056945800781,1.0333389901433037,False,0
p95_learned_profile_mae,011e40058b2151c3a2a6085124734b95,learned_equal,19,2.0943952,0.625,1.0515352487564087,0.3644841180800884,False,0
p95_learned_profile_mae,011e40058b2151c3a2a6085124734b95,learned_equal,20,2.3561945,0.125,0.5343499779701233,0.0,False,0
p95_learned_profile_mae,011e40058b2151c3a2a6085124734b95,learned_equal,21,2.6179938,0.0,0.40094801783561707,0.10616328068813496,False,0
p95_learned_profile_mae,011e40058b2151c3a2a6085124734b95,learned_equal,22,2.8797932,0.71875,1.030141085386276,0.9463965765804481,False,0
p95_learned_profile_mae,011e40058b2151c3a2a6085124734b95,learned_equal,23,3.1415927,2.4375,2.7225593626499176,2.7680355610930394,True,2
largest_profile_mae_regression_vs_zero_shot,02a64bb7b52b5658bb246275b4d17c9d,learned_active,0,-3.1415927,0.0,0.0,13.36401437581717,True,1
largest_profile_mae_regression_vs_zero_shot,02a64bb7b52b5658bb246275b4d17c9d,learned_active,1,-2.8797932,3.375,9.233120441436768,16.73901437581717,True,6
largest_profile_mae_regression_vs_zero_shot,02a64bb7b52b5658bb246275b4d17c9d,learned_active,2,-2.6179938,0.9375,0.562598705291748,1.6701357839200384,False,0
largest_profile_mae_regression_vs_zero_shot,02a64bb7b52b5658bb246275b4d17c9d,learned_active,3,-2.3561945,1.3125,2.460464358329773,0.0,False,0
largest_profile_mae_regression_vs_zero_shot,02a64bb7b52b5658bb246275b4d17c9d,learned_active,4,-2.0943952,0.875,3.8967686891555786,2.0680123967871324,False,0
largest_profile_mae_regression_vs_zero_shot,02a64bb7b52b5658bb246275b4d17c9d,learned_active,5,-1.8325957,0.75,4.482524275779724,5.83588070687626,False,0
