method,budget,metric,mean,ci_low,ci_high,profile_count,bootstrap_repeats
learned_equal,1,profile_mae,0.8232695853686832,0.7788780248618066,0.8702943609525804,1000,5000
learned_equal,1,barrier_abs_error,1.1539662729222395,1.0698240229273912,1.2405798168870057,1000,5000
learned_equal,2,profile_mae,0.6979470054480942,0.6608237407368048,0.7380953131777551,1000,5000
learned_equal,2,barrier_abs_error,0.9557533190501789,0.882611712772037,1.0377795911775052,1000,5000
learned_equal,4,profile_mae,0.4893583735177959,0.4527324520893564,0.531091732715497,1000,5000
learned_equal,4,barrier_abs_error,0.5089649347588919,0.4411806388098769,0.5942120968061548,1000,5000
learned_equal,6,profile_mae,0.3697370954660024,0.33910243393482825,0.4048393969669911,1000,5000
learned_equal,6,barrier_abs_error,0.4032382031098289,0.3426881873349626,0.47717587089506014,1000,5000
learned_variance,0,profile_mae,0.8438142569362314,0.7997456085861355,0.8897199075455038,1000,5000
learned_variance,0,barrier_abs_error,1.2331940337681444,1.1492888730235777,1.3203845911910583,1000,5000
learned_variance,1,profile_mae,0.8368870128622716,0.7915091810883498,0.8839961767523741,1000,5000
learned_variance,1,barrier_abs_error,1.1572343112040295,1.074138217696988,1.2468600670784853,1000,5000
learned_variance,2,profile_mae,0.7042032828269915,0.6672207033778204,0.743620435032618,1000,5000
learned_variance,2,barrier_abs_error,0.9745531761698973,0.9035831251926909,1.0513387615095369,1000,5000
learned_variance,4,profile_mae,0.5045198778335891,0.4676990266612761,0.5454281358867863,1000,5000
learned_variance,4,barrier_abs_error,0.5786853610739101,0.5108403280480334,0.6610509721096581,1000,5000
learned_variance,6,profile_mae,0.3795780081276653,0.3498396185202169,0.41396252761157337,1000,5000
learned_variance,6,barrier_abs_error,0.4626015694649183,0.40331611604767226,0.5377644273504981,1000,5000
path_gp_active,0,profile_mae,4.276139556846314,4.1235392883631885,4.431466921604653,1000,5000
path_gp_active,0,barrier_abs_error,11.100296875,10.6610203125,11.534899218749999,1000,5000
path_gp_active,1,profile_mae,3.018254686085298,2.9069779375978233,3.1368496758096445,1000,5000
path_gp_active,1,barrier_abs_error,7.371599855242591,7.070186542251267,7.688021159437097,1000,5000
path_gp_active,2,profile_mae,2.2609857103962403,2.1780048160234555,2.3452614371384404,1000,5000
path_gp_active,2,barrier_abs_error,4.983735992155587,4.704787780767504,5.2786994867271035,1000,5000
path_gp_active,4,profile_mae,1.80886041604182,1.7428218538078901,1.877211450774598,1000,5000
path_gp_active,4,barrier_abs_error,1.9793798156954303,1.8275475829535344,2.1341764719293597,1000,5000
path_gp_active,6,profile_mae,1.3530023853803916,1.2979326840223504,1.4092145939670517,1000,5000
path_gp_active,6,barrier_abs_error,1.0656820269149216,0.956606403030572,1.1786100044783485,1000,5000
path_gp_variance,0,profile_mae,4.276139556846314,4.127227826951105,4.4333074590803925,1000,5000
path_gp_variance,0,barrier_abs_error,11.100296875,10.673915625,11.52824765625,1000,5000
path_gp_variance,1,profile_mae,3.018254686085298,2.9027993411667286,3.1310894550836252,1000,5000
path_gp_variance,1,barrier_abs_error,7.371599855242591,7.062613439014085,7.693615234828376,1000,5000
path_gp_variance,2,profile_mae,2.2606781129652727,2.1805812483810216,2.3450772225268355,1000,5000
path_gp_variance,2,barrier_abs_error,4.981361418484054,4.692767215700243,5.270107305260641,1000,5000
path_gp_variance,4,profile_mae,1.6108941779966148,1.5486335152451625,1.6739752694924608,1000,5000
path_gp_variance,4,barrier_abs_error,1.7147363909791526,1.583239352709269,1.8548025031769808,1000,5000
path_gp_variance,6,profile_mae,1.0508220047798769,1.0090758623832303,1.094757971831877,1000,5000
path_gp_variance,6,barrier_abs_error,1.3215839998795724,1.204095824182287,1.4518076682001309,1000,5000
random_path_gp,0,profile_mae,4.276139556846314,4.119858666756325,4.43473153287855,1000,5000
random_path_gp,0,barrier_abs_error,11.100296875,10.666427343750001,11.53719609375,1000,5000
random_path_gp,1,profile_mae,3.4055473938545338,3.282240474135441,3.530192818713157,1000,5000
random_path_gp,1,barrier_abs_error,8.476987428200355,8.13327589509247,8.822600134296046,1000,5000
random_path_gp,2,profile_mae,2.8542136880053777,2.749752204287405,2.958003523460186,1000,5000
