axis,level,comparator,metric,profile_count,proposed_mean,comparator_mean,relative_reduction,ci_low,ci_high,win_count,tie_count,loss_count,win_fraction
heavy_atom_quartile,heavy_atoms_Q2,zero_shot_active,profile_mae,282,0.35645808157628817,0.440165706395122,0.19017298168088603,-0.035689578614939155,0.33477089946893956,171,0,111,0.6063829787234043
heavy_atom_quartile,heavy_atoms_Q2,zero_shot_active,barrier_abs_error,282,0.18414519414691602,0.21627956596183248,0.14857793741174474,-0.4447880578895729,0.5236060335036882,79,148,55,0.2801418439716312
heavy_atom_quartile,heavy_atoms_Q2,learned_equal,profile_mae,282,0.35645808157628817,0.3582290966686888,0.004943805818315661,-0.24100496322618395,0.16227132775123407,155,0,127,0.549645390070922
heavy_atom_quartile,heavy_atoms_Q2,learned_equal,barrier_abs_error,282,0.18414519414691602,0.3878077732294871,0.5251637361122536,0.1770699434805459,0.7598642439731991,174,68,40,0.6170212765957447
heavy_atom_quartile,heavy_atoms_Q3,zero_shot_active,profile_mae,259,0.3200875497836243,0.42050355508390047,0.2387994205667079,0.1662542722779877,0.30612967280987513,175,0,84,0.6756756756756757
heavy_atom_quartile,heavy_atoms_Q3,zero_shot_active,barrier_abs_error,259,0.11816546674403573,0.1428655275230972,0.17289027806283208,-0.10623413570759986,0.38257971283519404,66,144,49,0.2548262548262548
heavy_atom_quartile,heavy_atoms_Q3,learned_equal,profile_mae,259,0.3200875497836243,0.3578663257007457,0.10556672479073292,0.01454830126185824,0.1829184627309152,141,1,117,0.5444015444015444
heavy_atom_quartile,heavy_atoms_Q3,learned_equal,barrier_abs_error,259,0.11816546674403573,0.35685919406288963,0.6688736938546935,0.5384312224768061,0.7786393167748743,164,58,37,0.6332046332046332
heavy_atom_quartile,heavy_atoms_Q4,zero_shot_active,profile_mae,255,0.35615685088977994,0.5640675857326923,0.3685918852664578,0.2733923608761709,0.45512346872370296,175,0,80,0.6862745098039216
heavy_atom_quartile,heavy_atoms_Q4,zero_shot_active,barrier_abs_error,255,0.10965909142312644,0.34156000687928756,0.678946336765119,0.4836224641379079,0.8061815858732932,81,129,45,0.3176470588235294
heavy_atom_quartile,heavy_atoms_Q4,learned_equal,profile_mae,255,0.35615685088977994,0.37393107196494946,0.04753341566874547,-0.03171633164154493,0.1195934073328618,132,0,123,0.5176470588235295
heavy_atom_quartile,heavy_atoms_Q4,learned_equal,barrier_abs_error,255,0.10965909142312644,0.38994549303598514,0.7187835392855616,0.6099494333321841,0.8053570133102874,165,53,37,0.6470588235294118
central_bond_class,C-C,zero_shot_active,profile_mae,475,0.30394440829367336,0.328529963177957,0.07483504593146117,-0.10170281361670705,0.1801416551996084,278,0,197,0.5852631578947368
central_bond_class,C-C,zero_shot_active,barrier_abs_error,475,0.11868017139700059,0.12324394524764719,0.03703041022807352,-0.5364652491847506,0.38812975807846156,109,277,89,0.2294736842105263
central_bond_class,C-C,learned_equal,profile_mae,475,0.30394440829367336,0.3272457149242071,0.07120431396918536,-0.10533228785196484,0.1870849758127532,271,0,204,0.5705263157894737
