method,budget,metric,error_kcal_mol,cumulative_fraction,profile_count
learned_active,6,profile_mae,0.0968987478244387,0.154,1000
learned_active,6,profile_mae,0.0970296417729311,0.155,1000
learned_active,6,profile_mae,0.0977004328801648,0.156,1000
learned_active,6,profile_mae,0.0979750891978094,0.157,1000
learned_active,6,profile_mae,0.0982442920311451,0.158,1000
learned_active,6,profile_mae,0.0990643628387212,0.159,1000
learned_active,6,profile_mae,0.0992926308210369,0.16,1000
learned_active,6,profile_mae,0.0999508652953738,0.161,1000
learned_active,6,profile_mae,0.1008042023972516,0.162,1000
learned_active,6,profile_mae,0.1008907170198022,0.163,1000
learned_active,6,profile_mae,0.1011218495911751,0.164,1000
learned_active,6,profile_mae,0.1016121344128116,0.165,1000
learned_active,6,profile_mae,0.10162123690179,0.166,1000
learned_active,6,profile_mae,0.1017564735541199,0.167,1000
learned_active,6,profile_mae,0.1019508782003546,0.168,1000
learned_active,6,profile_mae,0.1020091570896485,0.169,1000
learned_active,6,profile_mae,0.1022919382111409,0.17,1000
learned_active,6,profile_mae,0.1023882114841115,0.171,1000
learned_active,6,profile_mae,0.1026405236364738,0.172,1000
learned_active,6,profile_mae,0.1026559598163651,0.173,1000
learned_active,6,profile_mae,0.1034576294808338,0.174,1000
learned_active,6,profile_mae,0.1035763664940814,0.175,1000
learned_active,6,profile_mae,0.1043050830730144,0.176,1000
learned_active,6,profile_mae,0.1048794039976145,0.177,1000
learned_active,6,profile_mae,0.105059754284586,0.178,1000
learned_active,6,profile_mae,0.1062969445301031,0.179,1000
learned_active,6,profile_mae,0.1067624378038489,0.18,1000
learned_active,6,profile_mae,0.1069836196862105,0.181,1000
learned_active,6,profile_mae,0.1078595986368477,0.182,1000
learned_active,6,profile_mae,0.1083736893967779,0.183,1000
learned_active,6,profile_mae,0.1103335272761954,0.184,1000
learned_active,6,profile_mae,0.1104600067032897,0.185,1000
learned_active,6,profile_mae,0.1106819370732277,0.186,1000
learned_active,6,profile_mae,0.111195855511221,0.187,1000
learned_active,6,profile_mae,0.1116343202225803,0.188,1000
learned_active,6,profile_mae,0.1118857353382611,0.189,1000
learned_active,6,profile_mae,0.111892615989037,0.19,1000
learned_active,6,profile_mae,0.1120607445159579,0.191,1000
learned_active,6,profile_mae,0.1121207711858653,0.192,1000
learned_active,6,profile_mae,0.1129141176047958,0.193,1000
learned_active,6,profile_mae,0.1133490930693452,0.194,1000
learned_active,6,profile_mae,0.1135542657987651,0.195,1000
learned_active,6,profile_mae,0.1135984831661723,0.196,1000
learned_active,6,profile_mae,0.1139263095222282,0.197,1000
learned_active,6,profile_mae,0.1146538055842737,0.198,1000
learned_active,6,profile_mae,0.1154415628600037,0.199,1000
learned_active,6,profile_mae,0.115602241859065,0.2,1000
learned_active,6,profile_mae,0.1157920308545244,0.201,1000
learned_active,6,profile_mae,0.1170631023649619,0.202,1000
learned_active,6,profile_mae,0.117461854347714,0.203,1000
learned_active,6,profile_mae,0.1175978850741491,0.204,1000
learned_active,6,profile_mae,0.1182535143519391,0.205,1000
learned_active,6,profile_mae,0.1184982068040523,0.206,1000
learned_active,6,profile_mae,0.1188150842050674,0.207,1000
learned_active,6,profile_mae,0.1190239115984433,0.208,1000
learned_active,6,profile_mae,0.1191628743035007,0.209,1000
learned_active,6,profile_mae,0.1196139259181699,0.21,1000
learned_active,6,profile_mae,0.1196315062488888,0.211,1000
learned_active,6,profile_mae,0.120169855845929,0.212,1000
learned_active,6,profile_mae,0.1203452458191087,0.213,1000
learned_active,6,profile_mae,0.1204618618627292,0.214,1000
learned_active,6,profile_mae,0.1207756624452695,0.215,1000
learned_active,6,profile_mae,0.1211673821726853,0.216,1000
learned_active,6,profile_mae,0.1212833299914307,0.217,1000
learned_active,6,profile_mae,0.1213344856384935,0.218,1000
learned_active,6,profile_mae,0.1215158640132971,0.219,1000
learned_active,6,profile_mae,0.1219964446263336,0.22,1000
learned_active,6,profile_mae,0.1226727184084971,0.221,1000
learned_active,6,profile_mae,0.1232987293014725,0.222,1000
learned_active,6,profile_mae,0.1235544728922842,0.223,1000
learned_active,6,profile_mae,0.1239695356131366,0.224,1000
learned_active,6,profile_mae,0.1242023933809166,0.225,1000
learned_active,6,profile_mae,0.1248476793875782,0.226,1000
learned_active,6,profile_mae,0.1258325405013941,0.227,1000
learned_active,6,profile_mae,0.1263848448309051,0.228,1000
learned_active,6,profile_mae,0.1264053225739919,0.229,1000
learned_active,6,profile_mae,0.1266583459703767,0.23,1000
learned_active,6,profile_mae,0.127264976519367,0.231,1000
learned_active,6,profile_mae,0.1276819815964461,0.232,1000
learned_active,6,profile_mae,0.127718632844472,0.233,1000
learned_active,6,profile_mae,0.1277262358520506,0.234,1000
learned_active,6,profile_mae,0.1277488894478306,0.235,1000
learned_active,6,profile_mae,0.1282785849308722,0.236,1000
learned_active,6,profile_mae,0.1289254053870841,0.237,1000
learned_active,6,profile_mae,0.1291445416916585,0.238,1000
learned_active,6,profile_mae,0.1294303146770611,0.239,1000
learned_active,6,profile_mae,0.1294525585064985,0.24,1000
learned_active,6,profile_mae,0.1295144082244386,0.241,1000
learned_active,6,profile_mae,0.1297374226078368,0.242,1000
learned_active,6,profile_mae,0.1299742909697026,0.243,1000
learned_active,6,profile_mae,0.1300757677144574,0.244,1000
learned_active,6,profile_mae,0.1304002894035923,0.245,1000
learned_active,6,profile_mae,0.1310307038311129,0.246,1000
learned_active,6,profile_mae,0.1314751507815055,0.247,1000
learned_active,6,profile_mae,0.1322420315252628,0.248,1000
learned_active,6,profile_mae,0.1322868157961532,0.249,1000
learned_active,6,profile_mae,0.1323703821368047,0.25,1000
learned_active,6,profile_mae,0.1324691708800429,0.251,1000
learned_active,6,profile_mae,0.1325889040763141,0.252,1000
learned_active,6,profile_mae,0.132925003235823,0.253,1000
learned_active,6,profile_mae,0.1330429405650181,0.254,1000
learned_active,6,profile_mae,0.1332842915865101,0.255,1000
learned_active,6,profile_mae,0.1333300280631607,0.256,1000
learned_active,6,profile_mae,0.1336633067792789,0.257,1000
learned_active,6,profile_mae,0.1339179275100933,0.258,1000
learned_active,6,profile_mae,0.1340547136905967,0.259,1000
learned_active,6,profile_mae,0.1349783887593096,0.26,1000
learned_active,6,profile_mae,0.1350673638590809,0.261,1000
learned_active,6,profile_mae,0.1354326257545813,0.262,1000
learned_active,6,profile_mae,0.1358069091179976,0.263,1000
learned_active,6,profile_mae,0.1371495099251579,0.264,1000
learned_active,6,profile_mae,0.1373739921600077,0.265,1000
learned_active,6,profile_mae,0.1383971426851734,0.266,1000
learned_active,6,profile_mae,0.1385162441557405,0.267,1000
learned_active,6,profile_mae,0.1394210123790829,0.268,1000
learned_active,6,profile_mae,0.1395626885486088,0.269,1000
learned_active,6,profile_mae,0.1396571332052586,0.27,1000
learned_active,6,profile_mae,0.1398554769281708,0.271,1000
learned_active,6,profile_mae,0.1399004590226515,0.272,1000
learned_active,6,profile_mae,0.1404937073456168,0.273,1000
learned_active,6,profile_mae,0.1405364623756547,0.274,1000
learned_active,6,profile_mae,0.1405781539079376,0.275,1000
